id,listing_number,host_id,host_name,city,price_clean,estimated_revenue,customer_count_num,total_reviewers_number,room_type,price,host_certification,host_response_rate_pct,host_acceptance_rate_pct,bathrooms_num,bedrooms_num,beds_num,accommodates_num,reply_time_category,area,guest_favourite
27062,1,3181674,Britt,Berlin,73,0,0,12,Hotel Room,73,1,0,0,1,0,1,2,Unknown,Europe,0
27063,8,1023063,Raja Jooseppi,Berlin,145,0,0,45,Hotel Room,145,1,0.817240899,0.71204387,1,2,4,6,Unknown,Europe,0
27064,1,12234103,Verda,Berlin,123,0,0,421,Hotel Room,123,1,1,1,1,1,2,3,Unknown,Europe,1
27066,1,9275367,Benjamin,Berlin,180,0,0,248,Hotel Room,180,1,0.817240899,1,1,2,3,6,Unknown,Europe,0
27067,1,9825857,Moe,Berlin,50,0,0,90,Hotel Room,50,1,1,1,1,1,2,2,Unknown,Europe,1
27068,3,12285777,Anette,Berlin,82,0,0,2,Hotel Room,82,1,1,0,1,1,1,2,Unknown,Europe,0
27070,1,12377808,Bianca,Berlin,140,0,0,91,Hotel Room,140,1,1,0.71204387,1,2,1,3,Unknown,Europe,0
27071,1,12382511,Ben,Berlin,44,0,0,103,Private Room,44,1,0,0,1,1,1,2,Unknown,Europe,0
27072,3,12285777,Anette,Berlin,80,0,0,7,Hotel Room,80,1,1,0,1,1,0,4,Unknown,Europe,0
27073,2,12509627,Olaf,Berlin,62,0,0,3,Hotel Room,62,1,0.817240899,0.71204387,1,3,4,4,Unknown,Europe,0
27075,2,12569223,Felix,Berlin,250,0,0,23,Hotel Room,250,1,1,0.71204387,2,2,2,4,Unknown,Europe,0
27076,1,12602554,Hermann,Berlin,58,0,0,121,Hotel Room,58,1,1,1,1,1,2,2,Unknown,Europe,0
27077,4,12716840,Sebastian,Berlin,187,0,0,305,Hotel Room,187,1,1,1,1,2,2,4,Unknown,Europe,0
27078,1,12533087,Liz,Berlin,115,0,0,53,Hotel Room,115,1,0,0.71204387,1,1,2,4,Unknown,Europe,0
27079,1,12755545,Renate,Berlin,95,0,0,81,Private Room,95,1,0,0,1,1,1,2,Unknown,Europe,0
27080,1,994927,Esteban,Berlin,44,0,0,212,Private Room,44,1,1,1,1,1,1,2,Unknown,Europe,0
27081,1,12980866,Kerem,Berlin,68,0,0,127,Private Room,68,1,0.817240899,0.71204387,1,1,1,2,Unknown,Europe,0
27082,2,11649536,Monica,Berlin,32,0,0,308,Private Room,32,1,1,0.71204387,2,1,1,2,Unknown,Europe,0
27083,1,12701184,Lothar,Berlin,135,0,0,26,Hotel Room,135,1,0.817240899,0.71204387,2,3,4,5,Unknown,Europe,0
27084,9,3900511,Daniele E Patrizia,Berlin,214,0,0,444,Hotel Room,214,1,1,1,2,4,5,7,Unknown,Europe,0
27085,1,13315290,Flora,Berlin,65,0,0,216,Hotel Room,65,1,1,1,1,2,3,4,Unknown,Europe,1
27086,8,1023063,Raja Jooseppi,Berlin,125,0,0,16,Hotel Room,125,1,0.817240899,0.71204387,1,2,1,5,Unknown,Europe,0
27087,2,13369500,Gabriel,Berlin,139,0,0,448,Hotel Room,139,1,1,1,1,1,0,4,Unknown,Europe,1
27089,2,10004699,Jan,Berlin,189,0,0,5,Hotel Room,189,1,1,0.71204387,1,3,2,4,Unknown,Europe,1
27090,1,13555007,Halis,Berlin,107,0,0,207,Hotel Room,107,0,1,1,1,1,2,3,Unknown,Europe,1
27091,2,11701433,Katharina,Berlin,100,0,0,302,Hotel Room,100,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27092,1,9936892,Matthias,Berlin,196,0,0,199,Hotel Room,196,1,1,1,1,1,3,4,Unknown,Europe,1
27093,1,13603270,Ivo,Berlin,50,0,0,383,Private Room,50,1,1,0.71204387,1,1,2,2,Unknown,Europe,0
27094,1,13628724,Hubert,Berlin,95,0,0,402,Hotel Room,95,1,1,1,1,2,4,4,Unknown,Europe,0
27095,1,2606945,Tristan,Berlin,88,0,0,1,Hotel Room,88,1,1,1,1,1,1,2,Unknown,Europe,1
27096,2,12781649,Dagmar,Berlin,35,0,0,163,Private Room,35,1,0.817240899,0.71204387,1,1,1,1,Unknown,Europe,0
27097,2,13783177,Elisabeth,Berlin,85,0,0,52,Hotel Room,85,1,1,0.71204387,1,0,2,4,Unknown,Europe,0
27098,1,13744805,Alexander,Berlin,190,0,0,20,Hotel Room,190,1,1,0.71204387,2,3,3,4,Unknown,Europe,0
27099,1,14031385,Valeria,Berlin,150,0,0,36,Hotel Room,150,1,1,1,1,1,1,2,Unknown,Europe,0
27100,1,13913604,Bj02Rn,Berlin,70,0,0,91,Hotel Room,70,1,1,0.71204387,1,1,2,3,Unknown,Europe,0
27101,1,5023680,Martin,Berlin,65,0,0,63,Private Room,65,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27102,2,14198674,Marianne,Berlin,58,0,0,62,Hotel Room,58,1,1,1,1,1,1,2,Unknown,Europe,0
27103,2,14304220,Hedda,Berlin,120,0,0,0,Private Room,120,1,0,0,1,1,1,2,Unknown,Europe,0
27104,1,14427855,Javier,Berlin,57,0,0,62,Hotel Room,57,1,0,1,1,3,3,6,Unknown,Europe,0
27105,2,14460564,Oliver,Berlin,43,0,0,25,Hotel Room,43,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27106,6,3789531,Fulvia,Berlin,98,0,0,105,Hotel Room,98,1,1,0.71204387,1,0,1,2,Unknown,Europe,0
27107,1,14595592,Bettina,Berlin,104,0,0,0,Private Room,104,1,1,0,1,1,1,2,Unknown,Europe,0
27108,3,12285777,Anette,Berlin,82,0,0,2,Hotel Room,82,1,1,0,1,1,1,3,Unknown,Europe,0
27109,1,14623546,Jean Luc,Berlin,2500,0,0,17,Hotel Room,2500,1,1,0,2,0,1,7,Unknown,Europe,0
27110,2,9027357,Heidrun,Berlin,39,0,0,131,Hotel Room,39,1,1,1,1,1,1,1,Unknown,Europe,1
27111,1,5109792,Claudia,Berlin,60,0,0,16,Hotel Room,60,1,0,0,1,2,3,3,Unknown,Europe,0
27112,1,14791171,Olivier,Berlin,110,0,0,30,Hotel Room,110,1,0,0.71204387,1,1,1,2,Unknown,Europe,0
27113,1,8792782,Julia,Berlin,95,0,0,30,Hotel Room,95,1,1,0.71204387,1,1,2,2,Unknown,Europe,0
27114,1,3329707,Susan,Berlin,112,0,0,71,Hotel Room,112,1,1,0.71204387,1,1,1,2,Unknown,Europe,1
27115,1,3419526,Armin,Berlin,190,0,0,79,Hotel Room,190,1,1,1,1,1,2,4,Unknown,Europe,0
27116,1,14545791,Gabriele,Berlin,70,0,0,184,Hotel Room,70,1,0,0,2,2,3,4,Unknown,Europe,0
27117,1,3177278,Fai,Berlin,130,0,0,306,Hotel Room,130,1,1,0.71204387,1,2,3,4,Unknown,Europe,0
27118,1,8579663,Sebastian,Berlin,35,0,0,26,Private Room,35,1,0,0,1,2,1,1,Unknown,Europe,0
27119,2,1293030,Hanno Zaki Suraya,Berlin,360,0,0,31,Hotel Room,360,1,1,1,1,2,3,4,Unknown,Europe,1
27120,1,15791056,Dagmar,Berlin,159,0,0,96,Hotel Room,159,1,1,0.71204387,1,2,4,5,Unknown,Europe,1
27121,15,1391772,Sunflower Hostel,Berlin,17,0,0,129,Entire Home/Apt,17,1,0.817240899,0.71204387,0,1,6,6,Unknown,Europe,0
27122,15,1391772,Sunflower Hostel,Berlin,15,0,0,57,Entire Home/Apt,15,1,0.817240899,0.71204387,0,1,5,5,Unknown,Europe,0
27123,15,1391772,Sunflower Hostel,Berlin,12,0,0,85,Entire Home/Apt,12,1,0.817240899,0.71204387,0,1,8,7,Unknown,Europe,0
27124,15,1391772,Sunflower Hostel,Berlin,9,0,0,80,Entire Home/Apt,9,1,0.817240899,0.71204387,0,1,7,7,Unknown,Europe,0
27125,15,1391772,Sunflower Hostel,Berlin,98,0,0,36,Private Room,98,1,0.817240899,0.71204387,1,1,2,2,Unknown,Europe,0
27126,1,11973365,Katrin,Berlin,96,0,0,102,Hotel Room,96,1,1,1,1,2,3,3,Unknown,Europe,1
27127,1,13174855,Barbara,Berlin,80,0,0,651,Hotel Room,80,1,1,0.71204387,1,0,1,2,Unknown,Europe,1
27128,1,12671652,Aglaja,Berlin,102,0,0,698,Hotel Room,102,1,1,1,2,2,2,5,Unknown,Europe,1
27129,1,16227824,Markus,Berlin,100,0,0,71,Hotel Room,100,1,0,0,1,1,1,3,Unknown,Europe,0
27130,1,8987718,Michael,Berlin,136,0,0,131,Hotel Room,136,1,1,1,1,2,2,2,Unknown,Europe,1
27131,4,12716840,Sebastian,Berlin,204,0,0,370,Hotel Room,204,1,1,1,1,2,3,6,Unknown,Europe,0
27133,2,11945559,Lieselotte,Berlin,60,0,0,29,Hotel Room,60,1,0,0,1,2,2,4,Unknown,Europe,0
27134,1,2633962,Patricia,Berlin,95,0,0,40,Hotel Room,95,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27136,1,16702596,Sonja,Berlin,44,0,0,81,Private Room,44,1,1,1,1,1,1,2,Unknown,Europe,1
27137,2,12781649,Dagmar,Berlin,45,0,0,168,Hotel Room,45,1,0.817240899,0.71204387,1,0,0,2,Unknown,Europe,0
27138,1,16735987,Gisela,Berlin,58,0,0,261,Hotel Room,58,1,1,1,1,1,2,3,Unknown,Europe,0
27140,2,4736382,Nassa,Berlin,87,0,0,348,Hotel Room,87,1,1,1,1,0,2,4,Unknown,Europe,1
27141,1,17133550,Francesca,Berlin,180,0,0,50,Hotel Room,180,1,0,1,1,2,2,3,Unknown,Europe,0
27142,1,13470888,Ida,Berlin,245,0,0,57,Hotel Room,245,1,1,0.71204387,1,3,5,5,Unknown,Europe,0
27143,1,17189352,Münür,Berlin,400,0,0,69,Hotel Room,400,1,0,0,2,4,12,7,Unknown,Europe,0
27144,1,17605418,Anna,Berlin,78,0,0,28,Private Room,78,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27145,2,17670857,Sabine,Berlin,90,0,0,71,Hotel Room,90,1,1,1,1,1,1,2,Unknown,Europe,1
27147,2,17670857,Sabine,Berlin,110,0,0,47,Hotel Room,110,1,1,1,1,1,2,2,Unknown,Europe,1
27148,1,8131151,Annik,Berlin,85,0,0,0,Hotel Room,85,1,0,0,1,1,1,2,Unknown,Europe,0
27149,1,18177117,Petra Und Otto,Berlin,94,0,0,84,Hotel Room,94,1,1,0,1,2,3,4,Unknown,Europe,0
